,Day,Weekday,Race Number,Post Position,M/L Odds,Finish,Final Odds,Change In Odds,ML_Odds_Split,F_Odds_Split,Diff_Odds_Split
1531,15,Thursday,9,10,4.0,1,2.57,1.43,2,2,1
1533,16,Friday,1,1,30.0,8,37.08,7.08,6,7,3
1534,16,Friday,1,2,30.0,4,70.49,40.49,6,8,7
1535,16,Friday,1,3,20.0,7,39.2,19.2,5,7,5
1536,16,Friday,1,4,4.0,3,2.34,1.66,2,2,1
1537,16,Friday,1,5,12.0,10,16.57,4.57,4,5,2
1538,16,Friday,1,6,10.0,11,10.74,0.74,3,4,1
1539,16,Friday,1,7,1.4,1,1.06,0.34,1,1,1
1540,16,Friday,1,8,20.0,2,28.84,8.84,5,6,3
1541,16,Friday,1,9,10.0,6,6.63,3.37,3,3,2
1542,16,Friday,1,10,15.0,9,36.81,21.81,4,7,6
1543,16,Friday,1,11,20.0,5,98.8,78.8,5,8,8
1545,16,Friday,2,1,8.0,5,14.69,6.69,3,4,3
1547,16,Friday,2,3,30.0,3,53.93,23.93,6,8,6
1548,16,Friday,2,4,2.5,7,2.25,0.25,2,2,1
1549,16,Friday,2,5,15.0,4,6.99,8.01,4,3,3
1550,16,Friday,2,6,20.0,6,36.46,16.46,5,7,5
1551,16,Friday,2,7,0.8,1,0.66,0.14,1,1,1
1552,16,Friday,2,8,20.0,8,27.48,7.48,5,6,3
1553,16,Friday,2,9,30.0,2,66.59,36.59,6,8,7
1554,16,Friday,3,1,15.0,9,35.54,20.54,4,7,6
1555,16,Friday,3,2,3.5,2,2.93,0.57,2,2,1
1556,16,Friday,3,3,2.5,5,1.73,0.77,2,1,1
1557,16,Friday,3,4,15.0,8,34.8,19.8,4,7,5
1558,16,Friday,3,5,12.0,3,9.37,2.63,4,3,2
1559,16,Friday,3,6,10.0,6,16.92,6.92,3,5,3
1560,16,Friday,3,7,6.0,4,6.59,0.59,3,3,1
1562,16,Friday,3,9,4.5,1,3.76,0.74,2,2,1
1564,16,Friday,3,11,30.0,7,44.93,14.93,6,7,4
1566,16,Friday,4,1,12.0,8,12.63,0.63,4,4,1
1567,16,Friday,4,2,3.0,5,3.3,0.3,2,2,1
1568,16,Friday,4,3,4.5,9,13.57,9.07,2,4,3
1569,16,Friday,4,4,6.0,6,10.81,4.81,3,4,2
1570,16,Friday,4,5,2.5,1,1.11,1.39,2,1,1
1571,16,Friday,4,6,15.0,7,41.29,26.29,4,7,6
1572,16,Friday,4,7,6.0,3,7.3,1.3,3,3,1
1573,16,Friday,4,8,20.0,4,50.18,30.18,5,8,7
1574,16,Friday,4,9,30.0,10,61.54,31.54,6,8,7
1575,16,Friday,4,10,15.0,2,11.61,3.39,4,4,2
1576,16,Friday,5,1,6.0,3,11.74,5.74,3,4,3
1577,16,Friday,5,2,6.0,5,4.11,1.89,3,2,1
1578,16,Friday,5,3,4.0,6,3.91,0.09,2,2,1
1579,16,Friday,5,4,12.0,8,12.31,0.31,4,4,1
1580,16,Friday,5,5,10.0,9,11.02,1.02,3,4,1
1581,16,Friday,5,6,15.0,4,7.56,7.44,4,3,3
1582,16,Friday,5,7,20.0,10,39.31,19.31,5,7,5
1583,16,Friday,5,8,4.5,2,3.36,1.14,2,2,1
1584,16,Friday,5,9,15.0,7,37.78,22.78,4,7,6
1585,16,Friday,5,10,3.5,1,5.31,1.81,2,3,1
1587,16,Friday,6,1,2.0,6,1.33,0.67,1,1,1
1588,16,Friday,6,2,3.0,1,2.34,0.66,2,2,1
1589,16,Friday,6,3,12.0,8,38.41,26.41,4,7,6
1590,16,Friday,6,4,6.0,5,5.7,0.3,3,3,1
1591,16,Friday,6,5,10.0,3,15.62,5.62,3,5,3
1592,16,Friday,6,6,8.0,4,21.45,13.45,3,6,4
1593,16,Friday,6,7,15.0,7,15.37,0.37,4,5,1
1594,16,Friday,6,8,4.5,2,7.07,2.57,2,3,2
1595,16,Friday,7,1,12.0,2,8.45,3.55,4,3,2
1596,16,Friday,7,2,6.0,3,2.9,3.1,3,2,2
1597,16,Friday,7,3,12.0,11,45.47,33.47,4,7,7
1599,16,Friday,7,5,8.0,8,21.12,13.12,3,6,4
1600,16,Friday,7,6,3.5,6,3.09,0.41,2,2,1
1601,16,Friday,7,7,20.0,5,43.15,23.15,5,7,6
1602,16,Friday,7,8,30.0,9,46.04,16.04,6,7,5
1603,16,Friday,7,9,1.8,4,2.37,0.57,1,2,1
1604,16,Friday,7,10,20.0,10,30.09,10.09,5,7,4
1605,16,Friday,7,11,20.0,7,14.97,5.03,5,4,3
1606,16,Friday,7,12,15.0,1,10.98,4.02,4,4,2
1607,16,Friday,8,1,15.0,1,3.46,11.54,4,2,4
1609,16,Friday,8,3,20.0,4,9.69,10.31,5,3,4
1610,16,Friday,8,4,10.0,2,4.23,5.77,3,2,3
1611,16,Friday,8,5,8.0,6,2.96,5.04,3,2,3
1614,16,Friday,8,8,4.0,3,1.5,2.5,2,1,2
1615,16,Friday,8,9,30.0,5,31.16,1.16,6,7,1
1616,16,Friday,9,1,10.0,8,16.44,6.44,3,5,3
1617,16,Friday,9,2,20.0,10,52.28,32.28,5,8,7
1618,16,Friday,9,3,8.0,5,10.51,2.51,3,4,2
1619,16,Friday,9,4,12.0,7,12.4,0.4,4,4,1
1620,16,Friday,9,5,4.5,1,3.82,0.68,2,2,1
1621,16,Friday,9,6,20.0,4,11.34,8.66,5,4,3
1622,16,Friday,9,7,6.0,9,4.31,1.69,3,2,1
1623,16,Friday,9,8,8.0,3,5.71,2.29,3,3,2
1624,16,Friday,9,9,20.0,6,53.5,33.5,5,8,7
1625,16,Friday,9,10,20.0,2,7.12,12.88,5,3,4
1626,16,Friday,9,11,5.0,11,7.8,2.8,2,3,2
1627,16,Friday,9,12,5.0,12,12.78,7.78,2,4,3
1628,16,Friday,10,1,30.0,9,51.71,21.71,6,8,6
1629,16,Friday,10,2,3.0,2,5.17,2.17,2,3,2
1630,16,Friday,10,3,4.5,6,4.26,0.24,2,2,1
1631,16,Friday,10,4,8.0,1,12.65,4.65,3,4,2
1632,16,Friday,10,5,20.0,8,31.03,11.03,5,7,4
1633,16,Friday,10,6,15.0,10,20.18,5.18,4,6,3
1634,16,Friday,10,7,10.0,7,7.19,2.81,3,3,2
1635,16,Friday,10,8,3.5,3,1.86,1.64,2,1,1
1636,16,Friday,10,9,8.0,4,20.97,12.97,3,6,4
1637,16,Friday,10,10,15.0,5,9.53,5.47,4,3,3
1638,16,Friday,10,11,8.0,11,16.6,8.6,3,5,3
